ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
13795241587,sarungtangan umroh dan haji,Rp10.500,"23,6RB",fortun_,12%,Rp1.260,https://shopee.co.id/product/428651260/13795241587,https://s.shopee.co.id/30YF6oJcON
19280302823,Sarung Tangan Ihrom Haji Wanita Perlengkapan Haji Umroh/Manset Tangan Tebal Berkualitas/ Manset Tangan Polos/,Rp11.500,"2,9RB",ARMUNA_,12%,Rp1.380,https://shopee.co.id/product/1007852589/19280302823,https://s.shopee.co.id/4pztIBCdfk
18292971566,SAJADAH TRAVEL JUMBO 105 x 60 / SAJADAH UMROH HAJI NEW ARIVVAL,Rp5.900,25RB,Produsen Sajadah & jilbab,12%,Rp708,https://shopee.co.id/product/39252511/18292971566,https://s.shopee.co.id/4fgT5sDH0j
22206494122,Sajadah Dewasa Medium | Turkish Midi | Uk. 53x105 | Model Terbaru | Gift | Souvenir Haji | Terlaris | Lembut,Rp26.900,"19,4RB",pusatsajadah.id,8%,Rp2.152,https://shopee.co.id/product/616501156/22206494122,https://s.shopee.co.id/5AcjgnBMzq
17591812062,Oleh-Oleh Umroh & Haji Matte Series / Hadiah Umroh / Oleh-Oleh Umroh / Oleh-Oleh Haji / Fenham,Rp27.000,"56,2RB",Fenham Official,6%,Rp1.620,https://shopee.co.id/product/300517383/17591812062,https://s.shopee.co.id/50JJUUC0Kp
5818692877,"KAOS DALAM WANITA BERKANTONG, SINGLET PEREMPUAN DALAMAN HAJI DAN UMROH kode pe",Rp34.000,"15,8RB",NR MOSLEM WEAR,7%,Rp2.380,https://shopee.co.id/product/127995321/5818692877,https://s.shopee.co.id/4AkCUxFB1g
3182030071,"Sajadah Travel Motif Kiswah Sajadah Souvenir Umroh, Sajadah Traveling Pouch, Oleh-Oleh Umroh dan Haji",Rp6.900,"37,4RB",Alifa Azkiya Store,10%,Rp690,https://shopee.co.id/product/50586115/3182030071,https://s.shopee.co.id/40QmIeFoMf
18334713267,Celana umroh dan haji Renda Celana Ihrom Wanita Renda bahan katun /Gamis putih umroh/sendal putih wanita Perlengakapan Umroh dan haji,Rp40.000,"26,4RB",Al Fhima Collection,12%,Rp4.800,https://shopee.co.id/product/807508573/18334713267,https://s.shopee.co.id/4VN2tZDuLm
8642030794,ABA - AGENBAJU - SAJADAH TRAVEL | SAJADAH SOUVENIR UMROH HAJI-sajadah mini-tahlilan-sajadah-oleholehhaji-oleholeh  (READY STOCK),Rp9.999,"3,3JT",Agen Baju Official,7%,Rp700,https://shopee.co.id/product/18387484/8642030794,https://s.shopee.co.id/4L3chGEXgl
13828454314,[1 PASANG] ORIGINAL SOKA Jempol Skin Series Kaos Kaki Jempol Kaos Kaki Muslimah Wanita Hijab Haji Umroh Murah Diskon Warna Kulit Size M Pendek Kaoskaki Light Skin LightSkin,Rp15.920,"13,5RB",Binar Official,7%,Rp1.114,https://shopee.co.id/product/10873434/13828454314,https://s.shopee.co.id/qTkWpRrn6
23351173846,Paket oleh2 haji /umroh 5macam + peperbag kecil,Rp7.000,499,Al_Hijrah,4%,Rp280,https://shopee.co.id/product/125587846/23351173846,https://s.shopee.co.id/gAKKWSV85
11861077802,Paket oleh oleh haji dan umroh  ekonomis All Varian / oleh oleh haji / oleh oleh haji dan umroh / oleh oleh umroh / souvenir haji dan umroh,Rp10.500,"36,2RB",Tiah Albarkah store,6%,Rp630,https://shopee.co.id/product/315611128/11861077802,https://s.shopee.co.id/1B6avRQb7C
17495018123,Paket Oleh oleh Haji dan Umroh Ekonomis Dus tali jinjing kabah + cokelat kerikil gift  premium lengkap,Rp8.150,"156,5RB",Pusat oleh oleh Haji & Umroh,2%,Rp163,https://shopee.co.id/product/1002492852/17495018123,https://s.shopee.co.id/10nAj8RESB
1623599749,"Sajadah Travel Kashmeer Sajadah Souvenir Umroh, Sajadah Traveling Pouch, Oleh-Oleh Haji, Souvenir Pernikahan, Souvenir Sajadah Travel",Rp8.999,"14,2RB",Alifa Azkiya Store,10%,Rp900,https://shopee.co.id/product/50586115/1623599749,https://s.shopee.co.id/BE3jbUP92
5880059639,Celana Pangsi Sirwal Silat Solat Panjang Haji Umroh,Rp31.500,34RB,3N STORE,6%,Rp1.890,https://shopee.co.id/product/267083128/5880059639,https://s.shopee.co.id/udXIV2U1
19249253649,Sepatu tawaf Premium pria wanita anti slip Haji dan Umroh Hiban Store,Rp51.200,"21,6RB",hiban.store,17%,Rp8.704,https://shopee.co.id/product/137867791/19249253649,https://s.shopee.co.id/Vqu8DT8T8
19541917225,Paket Oleh Oleh Haji dan Umroh paket dus teng-teng/paket dus tali paket A-H,Rp7.300,"119,1RB",zona.muslim1,12%,Rp876,https://shopee.co.id/product/122354931/19541917225,https://s.shopee.co.id/LXTvuTlo7
15749189037,Sajadah Dewasa Turkiye | Turkish Harmony | Uk. 70x110 | Model Terbaru | Gift | Souvenir Haji | Terlaris | Lembut | Tebal | Best Seller,Rp31.250,"51,7RB",pusatsajadah.id,8%,Rp2.500,https://shopee.co.id/product/616501156/15749189037,https://s.shopee.co.id/2Az87HMn5U
7742796095,Kaos Kaki Tawaf Bludru Haji dan Umroh Wanita AL HAJJ,Rp47.500,"3,9RB",AL - HAJJ ,10%,Rp4.750,https://shopee.co.id/product/266544633/7742796095,https://s.shopee.co.id/20fhuyNQQT
12289978514,Kaos Kaki Wudhu  Wanita/ Kaos Kaki Haji Dan Umroh Wudhu AL HAJJ,Rp22.500,"10,7RB",AL - HAJJ ,10%,Rp2.250,https://shopee.co.id/product/266544633/12289978514,https://s.shopee.co.id/2VbyVtLWPa
1308856934,Paket B Oleh Oleh Haji Dan Umroh,Rp6.800,"46,6RB",Kurma Nurmecca,6%,Rp408,https://shopee.co.id/product/75842657/1308856934,https://s.shopee.co.id/2LIYJaM9kZ
20952992254,Sarung Tangan Manset Handsock Polos Jempol Curly Warna Perlengkapan Haji Umroh Wanita Muslimah,Rp15.900,694,Abu Sulthan Apparel,12%,Rp1.908,https://shopee.co.id/product/128932173/20952992254,https://s.shopee.co.id/1VjRK3PKRQ
21112394761,Oleh oleh Umroh dan Haji Premium / Paket Oleh oleh Umroh dan Haji / Sajadah Paperbag Kurma Ajwa Air zam zam asli 100%,Rp119.000,"18,4RB",kurma.aqla,8%,Rp9.520,https://shopee.co.id/product/184327719/21112394761,https://s.shopee.co.id/1LQ17kPxmP
20937890889,Kaos Kaki Wudhu Wanita Muslimah Praktis Haji dan Umroh Hiban Store,Rp24.300,"9,5RB",hiban.store,12%,Rp2.916,https://shopee.co.id/product/137867791/20937890889,https://s.shopee.co.id/1qMHifO3lW
16397596280,Paket Oleh-Oleh Haji dan Umroh paket dus teng-teng / Hampers kemasan premium,Rp5.900,"144,5RB",PUSAT OLEH-OLEH UMROH,12%,Rp708,https://shopee.co.id/product/430034818/16397596280,https://s.shopee.co.id/1g2rWMOh6V
19782371782,Kaos Kaki Wudhu Muslimah / Kaos Kaki Wanita Muslim / Kaus Kaki Wudhu Jempol Instan Haji Umroh / TV-78,Rp6.499,"3,3RB",Sheyla Store,6%,Rp390,https://shopee.co.id/product/61501315/19782371782,https://s.shopee.co.id/8pW23WxPYu
19960263883,Oleh Oleh Haji dan Umroh Paket 50 pcs | Paket Oleh Oleh Haji Hemat Ekonomis,Rp390.000,"1,6RB",Kurma_Shope 01,2%,Rp7.800,https://shopee.co.id/product/257907165/19960263883,https://s.shopee.co.id/8fCbrDy2tt
23930310621,Sarung Tangan Panjang Wanita Haji dan Umroh Hiban Store,Rp34.500,"6,6RB",hiban.store,12%,Rp4.140,https://shopee.co.id/product/137867791/23930310621,https://s.shopee.co.id/9A8sS8w8t0
19372390403,handsock cincin renda SAFA/ handsock cincin umroh & haji,Rp11.550,"35,2RB",Sabillah project,8%,Rp924,https://shopee.co.id/product/101219501/19372390403,https://s.shopee.co.id/8zpSFpwmDz
23270687013,oleh oleh haji dan umroh tas hemat,Rp11.000,"41,4RB",4fk_lahkex,2%,Rp220,https://shopee.co.id/product/773534605/23270687013,https://s.shopee.co.id/8AGLGIzwuq
19089247910,Celana Ihram Ihrom Wanita Panjang Bahan Katun Putih Polos renda Perlengkapan Ibadah Haji dan Umroh,Rp39.900,"1,2RB",ARMUNA_,12%,Rp4.788,https://shopee.co.id/product/1007852589/19089247910,https://s.shopee.co.id/7zwv400aFp
21381185543,"KAOS KAKI WUDHU JEMPOL ANTI SLIP ANTI LICIN , KAOS KAKI UMROH DAN HAJI kode K-18",Rp19.110,"2,4RB",NR MOSLEM WEAR,7%,Rp1.338,https://shopee.co.id/product/127995321/21381185543,https://s.shopee.co.id/8UtBeuygEw
18337562902,Celana katun renda haji dan umroh/Celana Renda Bahan Katun Wanita Premium AL HAJJ,Rp97.500,"2,7RB",AL - HAJJ ,10%,Rp9.750,https://shopee.co.id/product/266544633/18337562902,https://s.shopee.co.id/8KZlSbzJZv
2352039361,Sarung Tangan Sholat Putih Hitam Haji Umroh Muslimah Polos Bordir Perlengkapan Shalat Wanita Katun,Rp27.900,4RB,Abu Sulthan Apparel,12%,Rp3.348,https://shopee.co.id/product/128932173/2352039361,https://s.shopee.co.id/AA1PdysKrI
14096959903,ABA AGENBAJU SAJADAH TRAVEL MOTIF ESTETIK | SAJADAH SOUVENIR HAJI UMROH,Rp9.999,"353,7RB",Agen Baju Official,7%,Rp700,https://shopee.co.id/product/18387484/14096959903,https://s.shopee.co.id/9zhzRfsyCH
23929183693,JUMBO SIZE Kaos Kaki Tawaf Premium Wanita Pria Perlengkapan Haji dan Umroh Hiban Store,Rp51.200,44RB,hiban.store,12%,Rp6.144,https://shopee.co.id/product/137867791/23929183693,https://s.shopee.co.id/AUeG2ar4BO
19581854535,Sajadah Travel Murah | AEM Kiswah | Uk. 60 x 105 | Pouch | Tas | Model Terbaru | Gift | Souvenir Haji | Terlaris | Oleh-Oleh Haji | Umroh | Tipis | Medium,Rp23.000,"34,1RB",pusatsajadah.id,8%,Rp1.840,https://shopee.co.id/product/616501156/19581854535,https://s.shopee.co.id/AKKpqHrhWN
7742796065,Sarung Tangan Panjang Haji dan Umroh Wanita AL HAJJ,Rp28.710,"16,7RB",AL - HAJJ ,10%,Rp2.871,https://shopee.co.id/product/266544633/7742796065,https://s.shopee.co.id/9UliqkusDE
675318896,Sajadah Sujud Turky Mini Izmir Sajadah Anak Mini Grosir Oleh Oleh Haji Umroh,Rp12.000,"7,9RB",nabawi.surabaya,6%,Rp720,https://shopee.co.id/product/8634114/675318896,https://s.shopee.co.id/9KSIeRvVYD
